transaction_id,timestamp,account_number,account_holder,transaction_type,amount_inr,balance_after_txn,payment_mode,counterparty_account,remarks_description,status,channel,ip_address
TXN20260000,2026-06-01 09:00:00,ACC987654321,Rajesh Sharma,CREDIT,120000.0,570000.0,NEFT,ACC_EMPLOYER_SALARY,Monthly Salary Credit,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260001,2026-06-02 11:41:37,ACC987654321,Rajesh Sharma,DEBIT,15000.0,555000.0,NEFT,ACC1002345_KAPIL,Rent Payment,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260002,2026-06-03 14:23:15,ACC987654321,Rajesh Sharma,DEBIT,15000.0,540000.0,BILL_PAY,ELECTRICITY_GRID_GUJ,Utility Bill,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260003,2026-06-04 17:04:53,ACC987654321,Rajesh Sharma,CREDIT,120000.0,660000.0,NEFT,ACC_EMPLOYER_SALARY,Monthly Salary Credit,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260004,2026-06-05 19:46:31,ACC987654321,Rajesh Sharma,CREDIT,125000.0,785000.0,NEFT,ACC_EMPLOYER_SALARY,Monthly Salary Credit,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260005,2026-06-06 22:28:09,ACC987654321,Rajesh Sharma,DEBIT,4500.0,780500.0,UPI,AMZN_IN_RETAIL,Merchant Payment,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260006,2026-06-08 01:09:47,ACC987654321,Rajesh Sharma,DEBIT,480.0,780020.0,IMPS,ACC1008892_MEHTA,Personal Transfer,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260007,2026-06-09 03:51:25,ACC987654321,Rajesh Sharma,DEBIT,4500.0,775520.0,UPI,AMZN_IN_RETAIL,Merchant Payment,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260008,2026-06-10 06:33:03,ACC987654321,Rajesh Sharma,CREDIT,125000.0,900520.0,NEFT,ACC_EMPLOYER_SALARY,Monthly Salary Credit,SUCCESS,MOBILE_APP,49.36.12.102
TXN20260009,2026-06-11 09:14:41,ACC987654321,Rajesh Sharma,DEBIT,4500.0,896020.0,NEFT,ACC1002345_KAPIL,Rent Payment,SUCCESS,MOBILE_APP,49.36.12.102
