transaction_id,timestamp,account_number,recipient_account,amount_inr,transaction_type,status,bank_name,ip_address
TXN100000,2026-07-01 08:00:00,ACC1006,ACC5001,500,IMPS,COMPLETED,Punjab National Bank,192.168.115.197
TXN100001,2026-07-01 11:00:00,ACC1003,ACC5009,1500,NEFT,COMPLETED,HDFC Bank,192.168.47.153
TXN100002,2026-07-01 14:00:00,ACC1012,ACC5003,5000,NEFT,SUSPICIOUS_FLAG,State Bank of India,192.168.194.10
TXN100003,2026-07-01 17:00:00,ACC1014,ACC5013,5000,UPI,COMPLETED,HDFC Bank,192.168.56.30
TXN100004,2026-07-01 20:00:00,ACC1010,ACC5015,500,IMPS,COMPLETED,ICICI Bank,192.168.242.251
TXN100005,2026-07-01 23:00:00,ACC1007,ACC5014,1500,RTGS,COMPLETED,HDFC Bank,192.168.109.5
TXN100006,2026-07-02 02:00:00,ACC1012,ACC5007,1500,NEFT,FAILED,HDFC Bank,192.168.119.248
TXN100007,2026-07-02 05:00:00,ACC1004,ACC5013,25000,IMPS,COMPLETED,Punjab National Bank,192.168.33.118
TXN100008,2026-07-02 08:00:00,ACC1006,ACC5007,25000,UPI,COMPLETED,Punjab National Bank,192.168.65.146
TXN100009,2026-07-02 11:00:00,ACC1009,ACC5015,500,UPI,COMPLETED,Punjab National Bank,192.168.224.239
TXN100010,2026-07-02 14:00:00,ACC1002,ACC5012,500000,RTGS,COMPLETED,ICICI Bank,192.168.177.11
TXN100011,2026-07-02 17:00:00,ACC1006,ACC5017,1500,IMPS,SUSPICIOUS_FLAG,Punjab National Bank,192.168.85.26
TXN100012,2026-07-02 20:00:00,ACC1010,ACC5014,250000,NEFT,FAILED,State Bank of India,192.168.63.217
TXN100013,2026-07-02 23:00:00,ACC1010,ACC5012,5000,NEFT,COMPLETED,Axis Bank,192.168.86.59
TXN100014,2026-07-03 02:00:00,ACC1007,ACC5008,500,RTGS,COMPLETED,State Bank of India,192.168.27.177
TXN100015,2026-07-03 05:00:00,ACC1004,ACC5014,1500,IMPS,SUSPICIOUS_FLAG,State Bank of India,192.168.205.161
TXN100016,2026-07-03 08:00:00,ACC1003,ACC5012,25000,IMPS,COMPLETED,Punjab National Bank,192.168.98.105
TXN100017,2026-07-03 11:00:00,ACC1007,ACC5000,25000,IMPS,COMPLETED,Axis Bank,192.168.99.129
TXN100018,2026-07-03 14:00:00,ACC1007,ACC5006,5000,IMPS,COMPLETED,Axis Bank,192.168.149.240
TXN100019,2026-07-03 17:00:00,ACC1002,ACC5008,5000,NEFT,COMPLETED,Axis Bank,192.168.55.6
TXN100020,2026-07-03 20:00:00,ACC1005,ACC5000,5000,IMPS,SUSPICIOUS_FLAG,ICICI Bank,192.168.220.209
TXN100021,2026-07-03 23:00:00,ACC1004,ACC5011,5000,IMPS,SUSPICIOUS_FLAG,Punjab National Bank,192.168.197.95
TXN100022,2026-07-04 02:00:00,ACC1001,ACC5007,500,UPI,FAILED,Axis Bank,192.168.133.102
TXN100023,2026-07-04 05:00:00,ACC1007,ACC5010,1500,RTGS,COMPLETED,ICICI Bank,192.168.3.181
TXN100024,2026-07-04 08:00:00,ACC1011,ACC5018,1500,IMPS,FAILED,HDFC Bank,192.168.23.229
TXN100025,2026-07-04 11:00:00,ACC1013,ACC5016,50000,IMPS,COMPLETED,HDFC Bank,192.168.53.165
TXN100026,2026-07-04 14:00:00,ACC1005,ACC5007,5000,NEFT,COMPLETED,ICICI Bank,192.168.202.202
TXN100027,2026-07-04 17:00:00,ACC1001,ACC5002,500000,IMPS,COMPLETED,ICICI Bank,192.168.83.145
TXN100028,2026-07-04 20:00:00,ACC1011,ACC5002,1500,IMPS,FAILED,Punjab National Bank,192.168.85.78
TXN100029,2026-07-04 23:00:00,ACC1004,ACC5000,50000,IMPS,FAILED,Punjab National Bank,192.168.201.110
TXN100030,2026-07-05 02:00:00,ACC1000,ACC5004,50000,IMPS,COMPLETED,HDFC Bank,192.168.1.51
TXN100031,2026-07-05 05:00:00,ACC1011,ACC5009,500,UPI,FAILED,Axis Bank,192.168.173.205
TXN100032,2026-07-05 08:00:00,ACC1009,ACC5006,5000,IMPS,COMPLETED,HDFC Bank,192.168.4.190
TXN100033,2026-07-05 11:00:00,ACC1005,ACC5008,25000,UPI,COMPLETED,Axis Bank,192.168.193.113
TXN100034,2026-07-05 14:00:00,ACC1012,ACC5006,100000,NEFT,COMPLETED,Axis Bank,192.168.232.32
TXN100035,2026-07-05 17:00:00,ACC1011,ACC5008,1500,IMPS,COMPLETED,Punjab National Bank,192.168.34.92
TXN100036,2026-07-05 20:00:00,ACC1008,ACC5007,1500,NEFT,COMPLETED,State Bank of India,192.168.95.72
TXN100037,2026-07-05 23:00:00,ACC1000,ACC5011,25000,IMPS,COMPLETED,State Bank of India,192.168.39.154
TXN100038,2026-07-06 02:00:00,ACC1010,ACC5001,50000,NEFT,COMPLETED,ICICI Bank,192.168.250.162
TXN100039,2026-07-06 05:00:00,ACC1010,ACC5000,1500,IMPS,COMPLETED,Punjab National Bank,192.168.182.118
TXN100040,2026-07-06 08:00:00,ACC1014,ACC5015,500,IMPS,COMPLETED,Axis Bank,192.168.3.123
TXN100041,2026-07-06 11:00:00,ACC1009,ACC5004,250000,NEFT,COMPLETED,State Bank of India,192.168.50.12
TXN100042,2026-07-06 14:00:00,ACC1011,ACC5002,1500,IMPS,COMPLETED,Axis Bank,192.168.193.54
TXN100043,2026-07-06 17:00:00,ACC1011,ACC5011,5000,IMPS,COMPLETED,State Bank of India,192.168.236.133
TXN100044,2026-07-06 20:00:00,ACC1014,ACC5007,50000,IMPS,COMPLETED,State Bank of India,192.168.222.222
TXN100045,2026-07-06 23:00:00,ACC1013,ACC5002,25000,IMPS,COMPLETED,State Bank of India,192.168.251.57
TXN100046,2026-07-07 02:00:00,ACC1013,ACC5000,25000,UPI,COMPLETED,Punjab National Bank,192.168.145.112
TXN100047,2026-07-07 05:00:00,ACC1014,ACC5002,1500,IMPS,COMPLETED,HDFC Bank,192.168.47.151
TXN100048,2026-07-07 08:00:00,ACC1013,ACC5004,5000,NEFT,SUSPICIOUS_FLAG,Axis Bank,192.168.207.229
TXN100049,2026-07-07 11:00:00,ACC1002,ACC5014,25000,NEFT,COMPLETED,Punjab National Bank,192.168.85.142
TXN100050,2026-07-07 14:00:00,ACC1011,ACC5013,1500,NEFT,COMPLETED,Punjab National Bank,192.168.66.75
TXN100051,2026-07-07 17:00:00,ACC1006,ACC5002,500,IMPS,SUSPICIOUS_FLAG,Punjab National Bank,192.168.179.103
TXN100052,2026-07-07 20:00:00,ACC1003,ACC5000,500000,IMPS,COMPLETED,Punjab National Bank,192.168.166.192
TXN100053,2026-07-07 23:00:00,ACC1008,ACC5004,5000,RTGS,COMPLETED,Punjab National Bank,192.168.252.226
TXN100054,2026-07-08 02:00:00,ACC1002,ACC5013,1500,UPI,COMPLETED,ICICI Bank,192.168.38.50
TXN100055,2026-07-08 05:00:00,ACC1004,ACC5006,500000,UPI,COMPLETED,Axis Bank,192.168.98.82
TXN100056,2026-07-08 08:00:00,ACC1002,ACC5008,250000,IMPS,COMPLETED,Punjab National Bank,192.168.30.79
TXN100057,2026-07-08 11:00:00,ACC1006,ACC5014,5000,IMPS,COMPLETED,Axis Bank,192.168.91.179
TXN100058,2026-07-08 14:00:00,ACC1004,ACC5014,100000,IMPS,COMPLETED,ICICI Bank,192.168.191.226
TXN100059,2026-07-08 17:00:00,ACC1008,ACC5009,500,NEFT,COMPLETED,ICICI Bank,192.168.52.249
TXN100060,2026-07-08 20:00:00,ACC1006,ACC5012,1500,IMPS,FAILED,Axis Bank,192.168.166.225
TXN100061,2026-07-08 23:00:00,ACC1001,ACC5018,25000,UPI,COMPLETED,State Bank of India,192.168.216.79
TXN100062,2026-07-09 02:00:00,ACC1003,ACC5006,50000,IMPS,COMPLETED,HDFC Bank,192.168.252.30
TXN100063,2026-07-09 05:00:00,ACC1008,ACC5016,100000,RTGS,COMPLETED,State Bank of India,192.168.247.106
TXN100064,2026-07-09 08:00:00,ACC1011,ACC5019,5000,NEFT,COMPLETED,State Bank of India,192.168.51.81
TXN100065,2026-07-09 11:00:00,ACC1013,ACC5003,100000,UPI,COMPLETED,State Bank of India,192.168.133.29
TXN100066,2026-07-09 14:00:00,ACC1001,ACC5004,100000,IMPS,COMPLETED,Punjab National Bank,192.168.132.138
TXN100067,2026-07-09 17:00:00,ACC1009,ACC5006,250000,NEFT,COMPLETED,ICICI Bank,192.168.184.145
TXN100068,2026-07-09 20:00:00,ACC1008,ACC5012,50000,NEFT,COMPLETED,State Bank of India,192.168.74.17
