Calling Number,Called Number,Start Time,Duration (sec),Call Type,IMEI,IMSI,Cell Tower ID
+919841221207,+919847538529,2026-07-13 00:06:10,298,VOICE,86043104767222,404452283275168,CGI-404-45-11009-8644
+919816127655,+919846294375,2026-07-13 00:43:59,0,DATA,86043104773523,404451001832311,CGI-404-45-11009-6584
+919845269406,+919868125346,2026-07-13 00:50:02,0,SMS,86043104795001,404451428681183,CGI-404-45-11009-4768
+919875196033,+919887439161,2026-07-13 01:23:00,0,DATA,86043104468231,404451518351545,CGI-404-45-11009-4768
+919868125346,+919886183416,2026-07-13 01:54:35,233,VOICE,86043104145597,404458034956516,CGI-404-45-11009-4132
+919876543210,+919816127655,2026-07-13 02:16:21,0,SMS,860431045551234,404459876543210,CGI-404-45-11009-1122
+919892700598,+919831636323,2026-07-13 02:36:01,44,VOICE,86043104310592,404457225314290,CGI-404-45-11009-4768
+919872631643,+919875196033,2026-07-13 02:53:03,112,VOICE,86043104461198,404452431455714,CGI-404-45-11009-4132
+919892700598,+919887439161,2026-07-13 03:35:26,0,DATA,86043104429759,404451766934427,CGI-404-45-11009-5382
+919876543210,+919123456789,2026-07-13 04:11:57,83,VOICE,860431045551234,404459876543210,CGI-404-45-11009-1122
+919885777327,+919892700598,2026-07-13 04:30:21,163,VOICE,86043104176234,404454079190170,CGI-404-45-11009-8644
+919892700598,+919875196033,2026-07-13 05:01:22,0,SMS,86043104331590,404457601890847,CGI-404-45-11009-5382
+919894141963,+919846974050,2026-07-13 05:18:44,72,VOICE,86043104768268,404456050882383,CGI-404-45-11009-2553
+919844447836,+919845269406,2026-07-13 06:03:17,160,VOICE,86043104320442,404451715825395,CGI-404-45-11009-2170
+919816127655,+919846974050,2026-07-13 06:15:49,0,SMS,86043104113682,404454926107721,CGI-404-45-11009-3162
+919847538529,+919885777327,2026-07-13 06:56:05,0,SMS,86043104367695,404451000670794,CGI-404-45-11009-5382
+919887439161,+919885777327,2026-07-13 07:23:28,0,DATA,86043104569238,404459614597331,CGI-404-45-11009-5382
+919876543210,+919123456789,2026-07-13 07:51:17,34,VOICE,860431045551234,404459876543210,CGI-404-45-11009-1122
